term_id,term,regex,term_family,source_basis,equity_financing_access_signal,financing_disclosure_context_signal,general_financing_disclosure_scope,nonfinancing_compensation_accounting_exclusion
term_0358_6401784c,\bobtain capital\b,\bobtain capital\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,0,0,1,0
term_0382_f2dd7086,\brais(?:e|es|ed|ing) capital\b,\brais(?:e|es|ed|ing) capital\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,0,0,1,0
term_0387_5299a2a9,\braise additional capital\b,\braise additional capital\b,External financing and capital access,SEC MD&A external-liquidity/source-of-funds rationale and SEC comment-letter usage,0,0,1,0
term_0435_62f27b32,\bsource of (?:cash|funds|liquidity|financing)\b,\bsource of (?:cash|funds|liquidity|financing)\b,Source-of-funds and liquidity,SEC MD&A liquidity/source-of-funds language and SEC comment-letter usage,0,0,1,0
term_0217_e85a3101,\bASC 718\b,\bASC 718\b,Non-financing compensation/accounting/valuation,Exclusion category identified from SEC comment-letter accounting/compensation contexts,0,0,0,1
term_0226_d8592db3,\bbenefit plan\b,\bbenefit plan\b,Non-financing compensation/accounting/valuation,Exclusion category identified from SEC comment-letter accounting/compensation contexts,0,0,0,1
term_0273_8c5aabcf,\bequity compensation\b,\bequity compensation\b,Non-financing compensation/accounting/valuation,Exclusion category identified from SEC comment-letter accounting/compensation contexts,0,0,0,1
term_0289_e38c6021,\bfair value\b,\bfair value\b,Non-financing compensation/accounting/valuation,Exclusion category identified from SEC comment-letter accounting/compensation contexts,0,0,0,1
term_0363_e317a1e8,\boption awards?\b,\boption awards?\b,Non-financing compensation/accounting/valuation,Exclusion category identified from SEC comment-letter accounting/compensation contexts,0,0,0,1
term_0380_04cc92ec,\bpurchase price allocation\b,\bpurchase price allocation\b,Non-financing compensation/accounting/valuation,Exclusion category identified from SEC comment-letter accounting/compensation contexts,0,0,0,1
term_0426_e2f3de56,\bshare-based compensation\b,\bshare-based compensation\b,Non-financing compensation/accounting/valuation,Exclusion category identified from SEC comment-letter accounting/compensation contexts,0,0,0,1
term_0449_7def5810,\bstock-based compensation\b,\bstock-based compensation\b,Non-financing compensation/accounting/valuation,Exclusion category identified from SEC comment-letter accounting/compensation contexts,0,0,0,1
term_0464_51d60a8b,\bwarrant accounting\b,\bwarrant accounting\b,Non-financing compensation/accounting/valuation,Exclusion category identified from SEC comment-letter accounting/compensation contexts,0,0,0,1
